dataset,group_or_system,n_generations,n_human_grades,judge_raw [95% CI],grade_points [95% CI],pass_rate [95% CI],human_raw [95% CI],human_grade_points [95% CI],human_pass_rate [95% CI],accuracy [95% CI],bleu [95% CI],rouge [95% CI],meteor [95% CI],chrf [95% CI],bertscore [95% CI],moverscore [95% CI],semantic_similarity [95% CI],coherence [95% CI]
benchathon,Human (traditional),65,60,"62.4 [57.9, 66.3]","7.80 [6.77, 8.78]","81.5% [72.3, 90.8]","50.7 [44.6, 56.2]","5.67 [4.62, 6.68]","63.3% [50.0, 75.0]",,"0.055 [0.042, 0.070]","0.171 [0.159, 0.184]","0.181 [0.162, 0.202]",,"0.325 [0.297, 0.355]","0.908 [0.902, 0.912]","0.688 [0.624, 0.749]","0.286 [0.283, 0.289]"
benchathon,Human (co-creation),155,60,"82.2 [80.4, 83.9]","13.29 [12.78, 13.77]","98.7% [96.8, 100.0]","65.4 [59.6, 71.0]","9.08 [7.85, 10.32]","86.7% [78.3, 95.0]",,"0.083 [0.077, 0.089]","0.186 [0.181, 0.191]","0.255 [0.242, 0.267]",,"0.338 [0.322, 0.353]","0.916 [0.913, 0.918]","0.752 [0.720, 0.786]","0.279 [0.275, 0.285]"
benchathon,claude-sonnet-4-6,15,4,"85.1 [81.8, 87.9]","14.13 [13.07, 15.00]","100.0% [100.0, 100.0]","53.8 [47.2, 60.2]","5.25 [3.50, 7.00]","75.0% [25.0, 100.0]",,"0.094 [0.084, 0.105]","0.176 [0.165, 0.187]","0.270 [0.252, 0.288]",,"0.338 [0.294, 0.381]","0.919 [0.916, 0.922]","0.762 [0.704, 0.813]","0.275 [0.271, 0.279]"
benchathon,claude-opus-4-7,15,8,"84.2 [79.6, 87.7]","13.87 [12.53, 14.87]","100.0% [100.0, 100.0]","62.7 [55.1, 69.2]","7.62 [5.88, 9.38]","87.5% [62.5, 100.0]",,"0.065 [0.048, 0.082]","0.190 [0.169, 0.212]","0.203 [0.176, 0.231]",,"0.384 [0.350, 0.417]","0.916 [0.911, 0.920]","0.792 [0.734, 0.840]","0.270 [0.266, 0.274]"
benchathon,gpt-5.4,30,4,"83.8 [81.2, 86.2]","13.80 [13.00, 14.53]","100.0% [100.0, 100.0]","61.1 [46.4, 79.0]","7.50 [4.00, 12.50]","75.0% [25.0, 100.0]",,"0.079 [0.065, 0.093]","0.178 [0.166, 0.190]","0.230 [0.208, 0.254]",,"0.346 [0.318, 0.374]","0.913 [0.908, 0.918]","0.795 [0.759, 0.828]","0.273 [0.269, 0.276]"
benchathon,gemini-3.1-pro-preview,15,8,"79.5 [72.4, 85.2]","12.53 [10.60, 14.13]","93.3% [80.0, 100.0]","76.2 [69.6, 82.8]","11.62 [9.62, 13.50]","100.0% [100.0, 100.0]",,"0.070 [0.051, 0.090]","0.193 [0.150, 0.230]","0.202 [0.167, 0.235]",,"0.399 [0.357, 0.435]","0.921 [0.911, 0.927]","0.786 [0.712, 0.847]","0.278 [0.272, 0.285]"
benchathon,gemini-3.1-flash-lite-preview,15,4,"77.8 [74.2, 81.7]","12.00 [10.80, 13.27]","100.0% [100.0, 100.0]","67.0 [49.9, 78.0]","9.25 [5.25, 12.00]","75.0% [25.0, 100.0]",,"0.055 [0.040, 0.072]","0.183 [0.164, 0.205]","0.185 [0.162, 0.209]",,"0.384 [0.346, 0.414]","0.920 [0.917, 0.923]","0.788 [0.714, 0.849]","0.278 [0.274, 0.282]"
benchathon,deepseek-ai/DeepSeek-V4-Pro,15,4,"75.7 [70.1, 81.1]","11.47 [9.73, 13.20]","100.0% [100.0, 100.0]","77.6 [71.5, 83.8]","11.75 [10.00, 13.50]","100.0% [100.0, 100.0]",,"0.083 [0.064, 0.101]","0.173 [0.157, 0.191]","0.246 [0.212, 0.281]",,"0.353 [0.309, 0.396]","0.918 [0.912, 0.923]","0.759 [0.700, 0.813]","0.278 [0.273, 0.283]"
benchathon,gpt-5.4-mini,15,4,"71.6 [64.0, 78.8]","10.27 [8.07, 12.33]","86.7% [66.7, 100.0]","54.6 [43.6, 64.8]","5.50 [3.50, 8.00]","75.0% [25.0, 100.0]",,"0.045 [0.035, 0.055]","0.160 [0.145, 0.175]","0.175 [0.158, 0.193]",,"0.336 [0.304, 0.367]","0.909 [0.903, 0.913]","0.780 [0.723, 0.825]","0.281 [0.277, 0.285]"
benchathon,deepseek-ai/DeepSeek-V4-Flash,15,4,"68.8 [63.6, 74.3]","9.33 [7.80, 10.93]","100.0% [100.0, 100.0]","52.4 [33.1, 66.8]","5.75 [2.25, 9.00]","75.0% [25.0, 100.0]",,"0.067 [0.054, 0.080]","0.176 [0.161, 0.193]","0.214 [0.194, 0.235]",,"0.374 [0.339, 0.406]","0.912 [0.907, 0.915]","0.772 [0.694, 0.834]","0.278 [0.274, 0.283]"
